,Ranking,Actor Names,About,Winnig Awards
13,14, Kate Winslet,"Ask Kate Winslet what she likes about any of her characters, and the word ""ballsy"" is bound to pop up at least once. The British actress has made a point of eschewing straightforward pretty-girl parts in favor of more devilish damsels; as a result, she's built an eclectic resume that runs the gamut from Shakespearean tragedy to modern-day mysticism and erotica.Kate Elizabeth Winslet was born in Reading, Berkshire, into a family of thespians -- parents Roger Winslet and Sally Anne Bridges-Winslet were both stage actors, maternal grandparents Oliver and Linda Bridges ran the Reading Repertory Theatre, and uncle Robert Bridges was a fixture in London's West End theatre district. Kate came into her talent at an early age. She scored her first professional gig at eleven, dancing opposite the Ho...",104
14,15, Christian Bale,"Christian Charles Philip Bale was born in Pembrokeshire, Wales, UK on January 30, 1974, to English parents Jennifer ""Jenny"" (James) and David Bale. His mother was a circus performer and his father, who was born in South Africa, was a commercial pilot. The family lived in different countries throughout Bale's childhood, including England, Portugal, and the United States. Bale acknowledges the constant change was one of the influences on his career choice.His first acting job was a cereal commercial in 1983; amazingly, the next year, he debuted on the West End stage in ""The Nerd"". A role in the 1986 NBC mini-series Anastasia (1986) caught Steven Spielberg's eye, leading to Bale's well-documented role in Das Reich der Sonne (1987). For the range of emotions he displayed as the star of the war...",82
15,16, Morgan Freeman,"With an authoritative voice and calm demeanor, this ever popular
American actor has grown into one of the most respected figures in
modern US cinema. Morgan was born on June 1, 1937 in Memphis, Tennessee,
to Mayme Edna (Revere), a teacher, and Morgan Porterfield Freeman, a
barber. The young Freeman attended Los Angeles City College before
serving several years in the US Air Force as a mechanic between 1955
and 1959. His first dramatic arts exposure was on the stage including
appearing in an all-African American production of the exuberant
musical Hello, Dolly!.Throughout the 1970s, he continued his work on stage, winning Drama
Desk and Clarence Derwent Awards and receiving a Tony Award nomination
for his performance in The Mighty Gents in 1978. In 1980, he won two
Obie Awards, for his port...",66
16,17, Keanu Reeves,"Keanu Charles Reeves, whose first name means ""cool breeze over the mountains"" in Hawaiian, was born September 2, 1964 in Beirut, Lebanon. He is the son of Patricia Taylor, a showgirl and costume designer, and Samuel Nowlin Reeves, a geologist. Keanu's father was born in Hawaii, of British, Portuguese, Native Hawaiian, and Chinese ancestry, and Keanu's mother is originally from England. After his parents' marriage dissolved, Keanu moved with his mother and younger sister, Kim Reeves, to New York City, then Toronto. Stepfather #1 was Paul Aaron, a stage and film director - he and Patricia divorced within a year, after which she went on to marry (and divorce) rock promoter Robert Miller and hair salon owner Jack Bond. Reeves never reconnected with his biological father. In high school, Reeves...",13
17,18, Nicolas Cage,"Nicolas Cage was born Nicolas Kim Coppola in Long Beach, California, the son of comparative literature professor August Coppola (whose brother is director Francis Ford Coppola) and dancer/choreographer Joy Vogelsang. He is of Italian (father) and Polish and German (mother) descent. Cage changed his name early in his career to make his own reputation, succeeding brilliantly with a host of classic, quirky roles by the late 1980s.Initially studying theatre at Beverly Hills High School (though he dropped out at seventeen), he secured a bit part in Ich glaub' ich steh' im Wald (1982) -- most of which was cut, dashing his hopes and leading to a job selling popcorn at the Fairfax Theater, thinking that would be the only route to a movie career. But a job reading lines with actors auditioning for ...",61
18,19, Hugh Jackman,"Hugh Michael Jackman is an Australian actor, singer, multi-instrumentalist, dancer and producer. Jackman has won international recognition for his roles in major films, notably as superhero, period, and romance characters. He is best known for his long-running role as Wolverine in the X-Men film series, as well as for his lead roles in the romantic-comedy fantasy Kate & Leopold (2001), the action-horror film Van Helsing (2004), the drama The Prestige and The Fountain (2006), the epic historical romantic drama Australia (2008), the film version of Les Misérables (2012), and the thriller Prisoners (2013). His work in Les Misérables earned him his first Academy Award nomination for Best Actor and his first Golden Globe Award for Best Actor - Motion Picture Musical or Comedy in 2013. In Broadw...",33
19,20, Edward Norton,"American actor, filmmaker and activist Edward Harrison Norton was born on August 18, 1969, in Boston, Massachusetts, and was raised in Columbia, Maryland.His mother, Lydia Robinson ""Robin"" (Rouse), was a foundation executive and teacher of English, and a daughter of famed real estate developer James Rouse, who developed Columbia, MD; she passed away of brain cancer on March 6, 1997. His father, Edward Mower Norton, was an environmental lawyer and conservationist, who works for the National Trust for Historic Preservation. Edward has two younger siblings, James and Molly.From the age of five onward, the Yale graduate (majoring in history) was interested in acting. At the age of eight, he would ask his drama teacher what his motivation in a scene was. He attended theater schools throughout h...",48
20,21, Bruce Willis,"Actor and musician Bruce Willis is well known for playing wisecracking or hard-edged characters, often in spectacular action films. Collectively, he has appeared in films that have grossed in excess of $2.5 billion USD.Walter Bruce Willis was born on March 19, 1955, in Idar-Oberstein, West Germany, to a German mother, Marlene Kassel, and an American father, David Andrew Willis (from Carneys Point, New Jersey), who were then living on a United States military base. His family moved to the U.S. shortly after he was born, and he was raised in Penns Grove, New Jersey, where his mother worked at a bank and his father was a welder and factory worker. Willis picked up an interest for the dramatic arts in high school, and was allegedly ""discovered"" whilst working in a café in New York City and the...",21
21,22, Tom Hanks,"Thomas Jeffrey Hanks was born in Concord, California, to Janet Marylyn (Frager), a hospital worker, and Amos Mefford Hanks, an itinerant cook. His mother's family, originally surnamed ""Fraga"", was entirely Portuguese, while his father was of mostly English ancestry. Tom grew up in what he has called a ""fractured"" family. He moved around a great deal after his parents' divorce, living with a succession of step-families. No problems, no alcoholism - just a confused childhood. He has no acting experience in college and credits the fact that he could not get cast in a college play with actually starting his career. He went downtown, and auditioned for a community theater play, was invited by the director of that play to go to Cleveland, and there his acting career started.Ron Howard was workin...",92
22,23, Charlize Theron,"Charlize Theron was born in Benoni, a city in the greater Johannesburg area, in South Africa, the only child of Gerda Theron (née Maritz) and Charles Theron. She was raised on a farm outside the city. Theron is of Afrikaner (Dutch, with some French Huguenot and German) descent, and Afrikaner military figure Danie Theron was her great-great-uncle.Theron received an education as a ballet dancer and has danced both the ""Swan Lake"" and ""The Nutcracker"". There was not much work for a young actress or dancer in South Africa, so she soon traveled to Europe and the United States, where she got a job at the Joffrey Ballet in New York. She was also able to work as a photo model. However, an injured knee put a halt to her dancing career.In 1994, her mother bought her a one-way ticket to Los Angeles, ...",69
23,24, Will Smith,"Willard Carroll ""Will"" Smith II (born September 25, 1968) is an American actor, comedian, producer, rapper, and songwriter. He has enjoyed success in television, film, and music. In April 2007, Newsweek called him ""the most powerful actor in Hollywood"". Smith has been nominated for five Golden Globe Awards, two Academy Awards, and has won four Grammy Awards.In the late 1980s, Smith achieved modest fame as a rapper under the name The Fresh Prince. In 1990, his popularity increased dramatically when he starred in the popular television series The Fresh Prince of Bel-Air. The show ran for six seasons (1990-96) on NBC and has been syndicated consistently on various networks since then. After the series ended, Smith moved from television to film, and ultimately starred in numerous blockbuster f...",91
24,25, Sean Connery,"The tall, handsome and muscular Scottish actor Sean Connery is best known as the original actor to portray James Bond in the hugely successful movie franchise, starring in seven films between 1962 and 1983. Some believed that such a career-defining role might leave him unable to escape it, but he proved the doubters wrong, becoming one of the most notable film actors of his generation, with a host of great movies to his name. This arguably culminated in his greatest acclaim in 1988, when Connery won the Academy Award for Best Supporting Actor for his role as an Irish cop in The Untouchables: Die Unbestechlichen (1987), stealing the thunder from the movie's principal star Kevin Costner. Connery was polled as ""The Greatest Living Scot"" and ""Scotland's Greatest Living National Treasure"". In 1...",39
25,26, Keira Knightley,"Keira Christina Knightley was born March 26, 1985 in the South West Greater London suburb of Richmond. She is the daughter of actor Will Knightley and actress turned playwright Sharman Macdonald. An older brother, Caleb Knightley, was born in 1979. Her father is English, while her Scottish-born mother is of Scottish and Welsh origin. Brought up immersed in the acting profession from both sides - writing and performing - it is little wonder that the young Keira asked for her own agent at the age of three. She was granted one at the age of six and performed in her first TV role as ""Little Girl"" in Royal Celebration (1993), aged seven.It was discovered at an early age that Keira had severe difficulties in reading and writing. She was not officially dyslexic as she never sat the formal tests r...",28
26,27, Vin Diesel,"Vin Diesel was born Mark Sinclair in Alameda County, California, along with his fraternal twin brother, Paul Vincent. He was raised by his astrologer/psychologist mother, Delora Sherleen (Sinclair), and adoptive father, Irving H. Vincent, an acting instructor and theatre manager, in an artists' housing project in New York City's Greenwich Village. He never knew his biological father. His mother is white (with English, German, Scottish, and Irish ancestry), and his adoptive father is African-American; referring to his biological father's background, Diesel has said that he himself is ""definitely a person of colour"".His first break in acting happened by chance, when at the age of seven he and his friends broke into a theatre to vandalize it. A woman stopped them and offered them each a scrip...",7
27,28, Matt Damon,"Matthew Paige Damon was born on October 8, 1970, in Boston, Massachusetts, to Kent Damon, a stockbroker, realtor and tax preparer, and Nancy Carlsson-Paige, an early childhood education professor at Lesley University. Matt has an older brother, Kyle, a sculptor. His father was of English and Scottish descent, and his mother is of Finnish and Swedish ancestry. The family lived in Newton until his parents divorced in 1973, when Damon and his brother moved with his mother to Cambridge. He grew up in a stable community, and was raised near actor Ben Affleck.Damon attended Cambridge Rindge and Latin School and he performed in a number of theater productions during his time there. He attended Harvard University as an English major. While in Harvard, he kept on skipping classes to pursue acting p...",36
28,29, Richard Gere,"Humanitarian and actor Richard Gere was born on August 31, 1949, in Philadelphia, the second of five children of Doris Anna (Tiffany), a homemaker, and Homer George Gere, an insurance salesman, both Mayflower descendants. Richard started early as a musician, playing a number of instruments in high school and writing music for high school productions. He graduated from North Syracuse Central High School in 1967, and won a gymnastics scholarship to the University of Massachusetts in Amherst, where he majored in philosophy. He left college after two years to pursue acting, landing a lead role in the London production of the rock musical ""Grease"" in 1973. The following year he would be in other plays, such as ""Taming of the Shrew."" Onscreen, he had a few roles, and gained recognition in Auf de...",21
29,30, Catherine Zeta-Jones,"Catherine Zeta-Jones was born September 25, 1969 in Swansea, Wales (and raised in the nearby town of Mumbles), the only daughter of Patricia (nee Fair) and David James ""Dai"" Jones, who formerly owned a sweet factory. She attended Dumbarton House School (Swansea). Her father (the son of Bertram (1912-1970) and Zeta Davies Jones (1917-2008)) is of Welsh descent and her mother (the daughter of William (1921-2000) and Catherine O'Callaghan Fair (1920-2001) ) is of English, Irish, and Welsh ancestry. Her brothers are David Jones (born 1967), a development executive, and Lyndon Jones (born 1972), who works at her production company. Her birth name was simply Catherine Jones, but she added her paternal grandmother's name (""Zeta"") so as to stand out from the many other young women with the exact s...",19
30,31, Clive Owen,"British actor Clive Owen is one of a handful of stars who, though he is best known for his art house films, can handle more mainstream films with equal measures of grace and skill. Owen
is typically cast as characters whose primary traits are a balance of
physical strength, intellect, conflicting soul but forceful will. He is best known to
film audiences for his work in
Children of Men (2006),
Hautnah (2004) and his breakout part in
Der Croupier (1998).Born in Coventry, in England's West Midlands county, on 3 October 1964,
Owen is the fourth of five brothers. He is the son of Pamela (Cotton)
and Jess Owen, a country and western singer. His father abandoned the
family when he was three years old, and Owen was subsequently raised by
his mother and stepfather. He attended Binley Park Comprehe...",22
31,32, Mel Gibson,"Mel Columcille Gerard Gibson was born January 3, 1956 in Peekskill, New York, USA, as the sixth of eleven children of Hutton Gibson, a railroad brakeman, and Anne Patricia (Reilly) Gibson (who died in December of 1990). His mother was Irish, from County Longford, while his American-born father is of mostly Irish descent.Mel and his family moved to Australia in the late 1960s, settling in New South Wales, where Mel's paternal grandmother, contralto opera singer Eva Mylott, was born. After high school, Mel studied at the University of New South Wales in Sydney, performing at the National Institute of Dramatic Arts alongside future film thespians Judy Davis and Geoffrey Rush.After college, Mel had a few stints on stage and starred in a few TV shows. Eventually, he was chosen to star in the fi...",44
32,33, George Clooney,"George Timothy Clooney was born on May 6, 1961, in Lexington, Kentucky, to Nina Bruce (née Warren), a former beauty pageant queen, and Nick Clooney, a former anchorman and television host (who was also the brother of singer Rosemary Clooney). He has Irish, English, and German ancestry. Clooney spent most of his youth in Ohio and Kentucky, and graduated from Augusta High School. He was very active in sports such as basketball and baseball, and tried out for the Cincinnati Reds, but was not offered a contract.After his cousin, Miguel Ferrer, got him a small role in a feature film, Clooney began to pursue acting. His first major role was on the sitcom E/R (1984) as Ace. More roles soon followed, including George Burnett, the handsome handyman on The Facts of Life (1979); Booker Brooks, a supe...",95
33,34, Jack Nicholson,"Jack Nicholson, an American actor, producer, director and screenwriter, is a three-time Academy Award winner and twelve-time nominee. Nicholson is also notable for being one of two actors - the other being Michael Caine - who have received an Oscar nomination in every decade from the '60s through the '00s.Nicholson was born on April 22, 1937, in Neptune, New Jersey. He was raised believing that his grandmother was his mother, and that his mother, June Frances Nicholson, a showgirl, was his older sister. He discovered the truth in 1975 from a Time magazine journalist who was researching a profile on him. His real father is believed to have been either Donald Furcillo, an Italian American showman, or Eddie King (Edgar Kirschfeld), born in Latvia and also in show business. Jack's mother's anc...",90
34,35, Scarlett Johansson,"Scarlett Ingrid Johansson was born on November 22, 1984 in Manhattan, New York City, New York. Her mother, Melanie Sloan is from a Jewish family from the Bronx and her father, Karsten Johansson is a Danish-born architect from Copenhagen. She has a sister, Vanessa Johansson, who is also an actress, a brother, Adrian, a twin brother, Hunter Johansson, born three minutes after her, and a paternal half-brother, Christian. Her grandfather was writer Ejner Johansson.Johansson began acting during childhood, after her mother started taking her to auditions. She made her professional acting debut at the age of eight in the off-Broadway production of ""Sophistry"" with Ethan Hawke, at New York's Playwrights Horizons. She would audition for commercials but took rejection so hard her mother began limiti...",70
35,36, Tom Hardy,"With his breakthrough performance as Eames in Christopher Nolan's sci-fi thriller Inception (2010), English actor Tom Hardy has been brought to the attention of mainstream audiences worldwide. However, the versatile actor has been steadily working on both stage and screen since his television debut in the miniseries Band of Brothers: Wir waren wie Brüder (2001). After being cast in the World War II drama, Hardy left his studies at the prestigious Drama Centre in London and was subsequently cast as Twombly in Ridley Scott's Black Hawk Down (2001) and as the villain Shinzon in Star Trek: Nemesis (2002).Edward Thomas Hardy was born on September 15, 1977 in Hammersmith, London; his mother, Elizabeth Anne (Barrett), is an artist and painter, and his father, Chips Hardy, is a writer. He is of En...",23
36,37, Robert Downey Jr.,"Robert Downey Jr. has evolved into one of the most respected actors in Hollywood. With an amazing list of credits to his name, he has managed to stay new and fresh even after over four decades in the business.Downey was born April 4, 1965 in Manhattan, New York, the son of writer, director and filmographer Robert Downey Sr. and actress Elsie Downey (née Elsie Ann Ford). Robert's father is of half Lithuanian Jewish, one quarter Hungarian Jewish, and one quarter Irish, descent, while Robert's mother was of English, Scottish, German, and Swiss-German ancestry. Robert and his sister, Allyson Downey, were immersed in film and the performing arts from a very young age, leading Downey Jr. to study at the Stagedoor Manor Performing Arts Training Center in upstate New York, before moving to Califor...",43
37,38, Orlando Bloom,"Orlando Jonathan Blanchard Copeland Bloom was born on January 13, 1977 in Canterbury, Kent, England. His mother, Sonia Constance Josephine Bloom (née Copeland),
was born in Kolkata, India, to an English family then-resident there.
The man he first knew as his father, Harry Bloom, was a legendary
political activist who fought for civil rights in South Africa. But
Harry died of a stroke when Orlando was only four years old. After
that, Orlando and his older sister,
Samantha Bloom, were raised by their
mother and family friend, Colin Stone. When Orlando was 13, Sonia
revealed to him that Colin is actually the biological father of Orlando and his sister; the two were conceived after an agreement by his parents, since Harry, who suffered a stroke in 1975, was unable to have children.Orlando att...",29
38,39, Ian McKellen,"Widely regarded as one of greatest stage and screen actors both in his native Great Britain and internationally, twice nominated for the Oscar and recipient of every major theatrical award in the UK and US, Ian Murray McKellen was born on May 25, 1939 in Burnley, Lancashire, England, to Margery Lois (Sutcliffe) and Denis Murray McKellen, a civil engineer and lay preacher. He is of Scottish, Northern Irish, and English descent. During his early childhood, his parents moved with Ian and his older sister, Jean, to the mill town of Wigan. It was in this small town that young Ian rode out World War II. He soon developed a fascination with acting and the theatre, which was encouraged by his parents. They would take him to plays, those by William Shakespeare, in particular. The amateur school pro...",53
39,40, Antonio Banderas,"Antonio Banderas, one of Spain's most famous faces, was a soccer player until breaking his foot at the age of fourteen; he is now an international movie star known for playing Zorro in the eponymous movie series.He was born José Antonio Domínguez Banderas on August 10, 1960, in Málaga, Andalusia, Spain. His father, Jose Dominguez, was a policeman in the Spanish civil guards. His mother, Doña Ana Banderas Gallego, was a school teacher. Young Banderas was brought up a Roman Catholic. He wanted to play soccer professionally and made much success playing for his school team until the age of 14, albeit his dream ended when he broke his foot. At that time, he developed a passion for theatre after seeing the stage production of ""Hair"". Banderas began his acting studies at the School of Dramatic A...",65
40,41, Guy Pearce,"Guy Edward Pearce was born October 5, 1967 in Cambridgeshire, England, UK to Margaret Anne and Stuart Graham Pearce. His father was born in Auckland, New Zealand, to English and Scottish parents, while Guy's mother is English. Pearce and his family initially traveled to Australia for two years, after his father was offered the position of Chief
test pilot for the Australian Government. Guy was just 3-years-old.
After deciding to stay in Australia and settling in the Victorian city
of Geelong, Guy's father was killed 5 years later in an aircraft test
flight, leaving Guy's mother, a
schoolteacher, to care for him and his older sister, Tracy.Having little interest in subjects at school like math or science, Guy
favored art, drama and music. He joined local theatre groups at a young
age and ap...",12
41,42, Samuel L. Jackson,"Samuel L. Jackson is an American producer and highly prolific actor, having appeared in over 100 films, including Stirb langsam - Jetzt erst recht (1995), Unbreakable - Unzerbrechlich (2000), Shaft - Noch Fragen? (2000), The 51st State (2001), Black Snake Moan (2006), Snakes on a Plane (2006), and the Star Wars prequel trilogy (1999-2005), as well as the Marvel Cinematic Universe.Samuel Leroy Jackson was born in Washington, D.C., to Elizabeth (Montgomery) and Roy Henry Jackson. He was raised by his mother, a factory worker, and his grandparents. At Morehouse College, Jackson was active in the black student movement. In the seventies, he joined the Negro Ensemble Company (together with Morgan Freeman). In the eighties, he became well-known after three movies made by Spike Lee: Do the Right ...",47
42,43, Sandra Bullock,"Sandra Annette Bullock was born in Arlington, a Virginia suburb of Washington, D.C. Her
mother, Helga Bullock (née Helga Mathilde
Meyer), was a German opera singer. Her father, John W. Bullock, was an
American voice teacher, who was born in Alabama, of German descent. Sandra grew up on the road with her parents
and younger sister, chef Gesine Bullock-Prado, and spent much of her childhood in Nuremberg, Germany. She often performed in the children's chorus of
whatever production her mother was in. That singing talent later came
in handy for her role as an aspiring country singer in
The Thing called Love - Die Entscheidung fürs Leben (1993).
Her family moved back to the Washington area when she was adolescent.
She later enrolled in East Carolina University in North Carolina, where
she studie...",81
43,44, Meg Ryan,"Blond-haired, blue-eyed with an effervescent personality, Meg Ryan was born Margaret Mary Emily Hyra in Fairfield, Connecticut, to Susan (Duggan), an English teacher and one-time actress, and Harry Hyra, a math teacher. She is of Ruthenian, Polish, Irish, and German ancestry (""Hyra"" is a Ruthenian surname, and ""Ryan"" is her maternal grandmother's maiden name). Meg graduated from Bethel high school, Bethel in June 1979. Moving to New York, she attended New York University where she majored in journalism. To earn extra money while working on her degree, Meg went into acting using her new name Meg Ryan. In 1981, she had her big screen debut with a brief appearance as Candice Bergen's daughter in George Cukor's last film Die wilden Reichen (1981).She tried out and was cast as Betsy in the day ...",12
44,45, Megan Fox,"Megan Denise Fox was born on May 16, 1986 in Oak Ridge, Tennessee and raised in Rockwood, Tennessee to Gloria Darlene Tonachio (née Cisson), a real estate manager & Franklin Thomas Fox, a parole officer. She began her drama and dance training at age 5 and at age 10, she moved to Port St. Lucie, Florida where she continued her training and finished school. Megan began acting and modeling at age 13 after winning several awards at the 1999 American Modeling and Talent Convention in Hilton Head, South Carolina. At age 17, she tested out of school using correspondence and eventually moved to Los Angeles, California. Megan made her film debut as Brianna Wallace in the Mary-Kate Olsen and Ashley Olsen film, Ferien unter Palmen (2001). Her best known roles are as Sam Witwicky's love interest, Mika...",8
